lib,apiname,sentence,info
libzip,zip_add,"   Mary , Bob   -   add file to zip archive or replace file in zip archive ( obsolete    interface ) ","[{'score': 1.7708807713962514e-14, 'answer': 'add file to zip archive or replace file in zip archive ', 'question': 'Who performs allocating?', 'context': '   Mary , Bob   -   add file to zip archive or replace file in zip archive ( obsolete    interface ) '}, {'score': 1.717393520689163e-14, 'answer': 'zip_replace ', 'question': 'Who performs freeing?', 'context': '   Mary , Bob   -   add file to zip archive or replace file in zip archive ( obsolete    interface ) '}, {'score': 1.1536593823801254e-14, 'answer': 'zip archive ', 'question': 'What has been allocated?', 'context': '   Mary , Bob   -   add file to zip archive or replace file in zip archive ( obsolete    interface ) '}, {'score': 1.479293575655516e-14, 'answer': 'zip archive or replace file in zip archive ', 'question': 'What has been freed?', 'context': '   Mary , Bob   -   add file to zip archive or replace file in zip archive ( obsolete    interface ) '}]"
libzip,zip_add,libzip (-lzip) ,"[{'score': 6.843772527447044e-15, 'answer': 'libzip ', 'question': 'Who performs allocating?', 'context': 'libzip (-lzip) '}, {'score': 3.98732713106963e-15, 'answer': 'libzip ', 'question': 'Who performs freeing?', 'context': 'libzip (-lzip) '}, {'score': 6.394179297505723e-15, 'answer': 'libzip ', 'question': 'What has been allocated?', 'context': 'libzip (-lzip) '}, {'score': 3.863662014836396e-15, 'answer': 'libzip ', 'question': 'What has been freed?', 'context': 'libzip (-lzip) '}]"
libzip,zip_add,the function Mary is the obsolete version of    Bob ,"[{'score': 3.6367630640906506e-14, 'answer': 'zip_file_add ', 'question': 'Who performs allocating?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 1.7319148841303013e-14, 'answer': 'the obsolete version of     zip_file_add ', 'question': 'Who performs freeing?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 4.649990651859823e-14, 'answer': 'zip_file_add ', 'question': 'What has been allocated?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 1.2180989385018014e-14, 'answer': 'the obsolete version of     zip_file_add ', 'question': 'What has been freed?', 'context': 'the function Mary is the obsolete version of    Bob '}]"
libzip,zip_add,it is the same as    calling Mary with an    empty flags argument ,"[{'score': 7.722840514876386e-14, 'answer': 'the same ', 'question': 'Who performs allocating?', 'context': 'it is the same as    calling Mary with an    empty flags argument '}, {'score': 2.234845948166815e-14, 'answer': 'an     empty flags argument ', 'question': 'Who performs freeing?', 'context': 'it is the same as    calling Mary with an    empty flags argument '}, {'score': 4.700793248581248e-13, 'answer': 'the same ', 'question': 'What has been allocated?', 'context': 'it is the same as    calling Mary with an    empty flags argument '}, {'score': 1.1861400465887177e-14, 'answer': 'an     empty flags argument ', 'question': 'What has been freed?', 'context': 'it is the same as    calling Mary with an    empty flags argument '}]"
libzip,zip_add,"similarly , the    Mary function is the obsolete version of    Bob ","[{'score': 3.0974368577831035e-14, 'answer': 'the obsolete version of     zip_file_replace ', 'question': 'Who performs allocating?', 'context': 'similarly , the    Mary function is the obsolete version of    Bob '}, {'score': 2.058497584900027e-14, 'answer': 'the obsolete version of     zip_file_replace ', 'question': 'Who performs freeing?', 'context': 'similarly , the    Mary function is the obsolete version of    Bob '}, {'score': 2.7552191146531894e-14, 'answer': 'the     zip_replace function ', 'question': 'What has been allocated?', 'context': 'similarly , the    Mary function is the obsolete version of    Bob '}, {'score': 1.2664863732400611e-14, 'answer': 'the obsolete version of     zip_file_replace ', 'question': 'What has been freed?', 'context': 'similarly , the    Mary function is the obsolete version of    Bob '}]"
libzip,zip_add,it is the    same as calling    Mary with an    empty flags argument ,"[{'score': 5.982517812305049e-14, 'answer': 'an     empty flags argument ', 'question': 'Who performs allocating?', 'context': 'it is the    same as calling    Mary with an    empty flags argument '}, {'score': 3.04353168101984e-14, 'answer': 'an     empty flags argument ', 'question': 'Who performs freeing?', 'context': 'it is the    same as calling    Mary with an    empty flags argument '}, {'score': 1.2174224302274883e-13, 'answer': 'it is the     same ', 'question': 'What has been allocated?', 'context': 'it is the    same as calling    Mary with an    empty flags argument '}, {'score': 1.510053238321877e-14, 'answer': 'an     empty flags argument ', 'question': 'What has been freed?', 'context': 'it is the    same as calling    Mary with an    empty flags argument '}]"
libzip,zip_add,"libzip ,    Mary ,    Bob ","[{'score': 1.947404775414982e-13, 'answer': 'zip_file_replace ', 'question': 'Who performs allocating?', 'context': 'libzip ,    Mary ,    Bob '}, {'score': 1.78407246251679e-14, 'answer': 'zip_file_replace ', 'question': 'Who performs freeing?', 'context': 'libzip ,    Mary ,    Bob '}, {'score': 1.2078492469169613e-14, 'answer': 'zip_file_replace ', 'question': 'What has been allocated?', 'context': 'libzip ,    Mary ,    Bob '}, {'score': 7.162011699576431e-15, 'answer': 'zip_file_replace ', 'question': 'What has been freed?', 'context': 'libzip ,    Mary ,    Bob '}]"
libzip,zip_add,Mary was added in libzip 0 ,"[{'score': 3.0154690559608312e-15, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'Mary was added in libzip 0 '}, {'score': 4.7553128461037906e-15, 'answer': 'zip_add ', 'question': 'Who performs freeing?', 'context': 'Mary was added in libzip 0 '}, {'score': 3.733214282278024e-15, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'Mary was added in libzip 0 '}, {'score': 2.090440256132171e-15, 'answer': 'zip_add ', 'question': 'What has been freed?', 'context': 'Mary was added in libzip 0 '}]"
libzip,zip_add,6,"[{'score': 4.80978158776818e-13, 'answer': '6 ', 'question': 'Who performs allocating?', 'context': '6'}, {'score': 3.699617381110881e-13, 'answer': '6 ', 'question': 'Who performs freeing?', 'context': '6'}, {'score': 4.242371428112013e-13, 'answer': '6 ', 'question': 'What has been allocated?', 'context': '6'}, {'score': 3.5373010672922617e-14, 'answer': '6 ', 'question': 'What has been freed?', 'context': '6'}]"
libzip,zip_add,in libzip 0,"[{'score': 5.5376605129784165e-14, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'in libzip 0'}, {'score': 2.557796063438946e-14, 'answer': '0 ', 'question': 'Who performs freeing?', 'context': 'in libzip 0'}, {'score': 1.3882111063977243e-13, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'in libzip 0'}, {'score': 1.8508171341011237e-14, 'answer': 'libzip 0 ', 'question': 'What has been freed?', 'context': 'in libzip 0'}]"
libzip,zip_add,10 the    return type was changed from int to    apple ,"[{'score': 1.1461332405338868e-14, 'answer': 'zip_int64_t ', 'question': 'Who performs allocating?', 'context': '10 the    return type was changed from int to    apple '}, {'score': 9.898990298523678e-15, 'answer': 'return type was changed from int to     zip_int64_t ', 'question': 'Who performs freeing?', 'context': '10 the    return type was changed from int to    apple '}, {'score': 1.213610765024185e-14, 'answer': 'return type was changed from int to     zip_int64_t ', 'question': 'What has been allocated?', 'context': '10 the    return type was changed from int to    apple '}, {'score': 6.691521743309873e-15, 'answer': 'return type was changed from int to     zip_int64_t ', 'question': 'What has been freed?', 'context': '10 the    return type was changed from int to    apple '}]"
libzip,zip_add,it was deprecated in libzip 0,"[{'score': 3.995465000110375e-15, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'it was deprecated in libzip 0'}, {'score': 2.8126950858605457e-15, 'answer': 'it was deprecated in libzip 0 ', 'question': 'Who performs freeing?', 'context': 'it was deprecated in libzip 0'}, {'score': 1.2677710681111617e-14, 'answer': 'it ', 'question': 'What has been allocated?', 'context': 'it was deprecated in libzip 0'}, {'score': 4.6759140952105406e-15, 'answer': 'it ', 'question': 'What has been freed?', 'context': 'it was deprecated in libzip 0'}]"
libzip,zip_add,"11 , use    Mary instead ","[{'score': 3.1500372649944167e-14, 'answer': 'use     zip_file_add ', 'question': 'Who performs allocating?', 'context': '11 , use    Mary instead '}, {'score': 1.1344173349173495e-14, 'answer': 'use     zip_file_add ', 'question': 'Who performs freeing?', 'context': '11 , use    Mary instead '}, {'score': 2.7864627719456116e-14, 'answer': '11 ', 'question': 'What has been allocated?', 'context': '11 , use    Mary instead '}, {'score': 5.5308180961272015e-15, 'answer': 'use     zip_file_add instead ', 'question': 'What has been freed?', 'context': '11 , use    Mary instead '}]"
libzip,zip_add,Mary was added in libzip 0 ,"[{'score': 3.0154690559608312e-15, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'Mary was added in libzip 0 '}, {'score': 4.7553128461037906e-15, 'answer': 'zip_replace ', 'question': 'Who performs freeing?', 'context': 'Mary was added in libzip 0 '}, {'score': 3.733214282278024e-15, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'Mary was added in libzip 0 '}, {'score': 2.090440256132171e-15, 'answer': 'zip_replace ', 'question': 'What has been freed?', 'context': 'Mary was added in libzip 0 '}]"
libzip,zip_add,6,"[{'score': 4.80978158776818e-13, 'answer': '6 ', 'question': 'Who performs allocating?', 'context': '6'}, {'score': 3.699617381110881e-13, 'answer': '6 ', 'question': 'Who performs freeing?', 'context': '6'}, {'score': 4.242371428112013e-13, 'answer': '6 ', 'question': 'What has been allocated?', 'context': '6'}, {'score': 3.5373010672922617e-14, 'answer': '6 ', 'question': 'What has been freed?', 'context': '6'}]"
libzip,zip_add,in     libzip 0,"[{'score': 6.869917469913469e-15, 'answer': 'in      libzip 0 ', 'question': 'Who performs allocating?', 'context': 'in     libzip 0'}, {'score': 4.577120830924009e-15, 'answer': 'libzip 0 ', 'question': 'Who performs freeing?', 'context': 'in     libzip 0'}, {'score': 1.4043365808343727e-14, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'in     libzip 0'}, {'score': 3.2916433013801486e-15, 'answer': 'libzip 0 ', 'question': 'What has been freed?', 'context': 'in     libzip 0'}]"
libzip,zip_add,10 the type of index was changed from      int to apple ,"[{'score': 2.0878677747197122e-14, 'answer': 'the type of index ', 'question': 'Who performs allocating?', 'context': '10 the type of index was changed from      int to apple '}, {'score': 1.1239773150292613e-14, 'answer': '10 the type of index ', 'question': 'Who performs freeing?', 'context': '10 the type of index was changed from      int to apple '}, {'score': 7.70654766672936e-14, 'answer': 'index ', 'question': 'What has been allocated?', 'context': '10 the type of index was changed from      int to apple '}, {'score': 8.701758355490665e-15, 'answer': 'the type of index ', 'question': 'What has been freed?', 'context': '10 the type of index was changed from      int to apple '}]"
libzip,zip_add,it was     deprecated in libzip 0,"[{'score': 7.59519959539533e-15, 'answer': 'it was      deprecated in libzip 0 ', 'question': 'Who performs allocating?', 'context': 'it was     deprecated in libzip 0'}, {'score': 4.164009733537404e-15, 'answer': 'it was      deprecated in libzip 0 ', 'question': 'Who performs freeing?', 'context': 'it was     deprecated in libzip 0'}, {'score': 7.838082904888712e-15, 'answer': 'it ', 'question': 'What has been allocated?', 'context': 'it was     deprecated in libzip 0'}, {'score': 5.2665476282321225e-15, 'answer': 'it ', 'question': 'What has been freed?', 'context': 'it was     deprecated in libzip 0'}]"
libzip,zip_add,"11 , use Mary      instead ","[{'score': 7.918774143356178e-14, 'answer': 'zip_file_replace ', 'question': 'Who performs allocating?', 'context': '11 , use Mary      instead '}, {'score': 2.957814657263136e-14, 'answer': 'use zip_file_replace ', 'question': 'Who performs freeing?', 'context': '11 , use Mary      instead '}, {'score': 4.193005873607582e-14, 'answer': 'use zip_file_replace ', 'question': 'What has been allocated?', 'context': '11 , use Mary      instead '}, {'score': 1.027945886370547e-14, 'answer': 'use zip_file_replace ', 'question': 'What has been freed?', 'context': '11 , use Mary      instead '}]"
libzip,zip_add,dieter baron   <dillo@nih,"[{'score': 3.1378515102020374e-14, 'answer': 'nih ', 'question': 'Who performs allocating?', 'context': 'dieter baron   <dillo@nih'}, {'score': 1.7724389732060204e-14, 'answer': 'dillo@nih ', 'question': 'Who performs freeing?', 'context': 'dieter baron   <dillo@nih'}, {'score': 9.613716208745418e-14, 'answer': 'nih ', 'question': 'What has been allocated?', 'context': 'dieter baron   <dillo@nih'}, {'score': 1.0708271834351801e-14, 'answer': 'dillo@nih ', 'question': 'What has been freed?', 'context': 'dieter baron   <dillo@nih'}]"
libzip,zip_add,at> and   thomas klausner   <tk@giga,"[{'score': 4.479965050731109e-14, 'answer': 'giga ', 'question': 'Who performs allocating?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 2.3444674275411616e-14, 'answer': 'thomas klausner    < tk@giga ', 'question': 'Who performs freeing?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 6.4284555868592e-14, 'answer': 'giga ', 'question': 'What has been allocated?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 1.424816821059445e-14, 'answer': 'giga ', 'question': 'What has been freed?', 'context': 'at> and   thomas klausner   <tk@giga'}]"
libzip,zip_add,or,"[{'score': 3.064599423297128e-14, 'answer': 'or ', 'question': 'Who performs allocating?', 'context': 'or'}, {'score': 7.950345263586008e-15, 'answer': 'or ', 'question': 'Who performs freeing?', 'context': 'or'}, {'score': 1.4136004107719036e-13, 'answer': 'or ', 'question': 'What has been allocated?', 'context': 'or'}, {'score': 6.9123478913402786e-15, 'answer': 'or ', 'question': 'What has been freed?', 'context': 'or'}]"
libzip,zip_add,at> ,"[{'score': 2.750897891369477e-14, 'answer': 'at > ', 'question': 'Who performs allocating?', 'context': 'at> '}, {'score': 2.3504916952686236e-14, 'answer': 'at > ', 'question': 'Who performs freeing?', 'context': 'at> '}, {'score': 3.3267290154180215e-14, 'answer': 'at > ', 'question': 'What has been allocated?', 'context': 'at> '}, {'score': 9.981192304955866e-15, 'answer': 'at > ', 'question': 'What has been freed?', 'context': 'at> '}]"
libzip,zip_add_dir,   Mary   -   add directory to zip archive ( obsolete interface ) ,"[{'score': 2.8512009918844894e-14, 'answer': 'zip archive ', 'question': 'Who performs allocating?', 'context': '   Mary   -   add directory to zip archive ( obsolete interface ) '}, {'score': 1.3880761740492267e-14, 'answer': 'zip archive ', 'question': 'Who performs freeing?', 'context': '   Mary   -   add directory to zip archive ( obsolete interface ) '}, {'score': 2.4816054498334218e-14, 'answer': 'zip archive ', 'question': 'What has been allocated?', 'context': '   Mary   -   add directory to zip archive ( obsolete interface ) '}, {'score': 1.3816935266817813e-14, 'answer': 'zip archive ', 'question': 'What has been freed?', 'context': '   Mary   -   add directory to zip archive ( obsolete interface ) '}]"
libzip,zip_add_dir,libzip (-lzip) ,"[{'score': 6.843772527447044e-15, 'answer': 'libzip ', 'question': 'Who performs allocating?', 'context': 'libzip (-lzip) '}, {'score': 3.98732713106963e-15, 'answer': 'libzip ', 'question': 'Who performs freeing?', 'context': 'libzip (-lzip) '}, {'score': 6.394179297505723e-15, 'answer': 'libzip ', 'question': 'What has been allocated?', 'context': 'libzip (-lzip) '}, {'score': 3.863662014836396e-15, 'answer': 'libzip ', 'question': 'What has been freed?', 'context': 'libzip (-lzip) '}]"
libzip,zip_add_dir,the function Mary is the obsolete version of    Bob ,"[{'score': 3.6367630640906506e-14, 'answer': 'zip_dir_add ', 'question': 'Who performs allocating?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 1.7319148841303013e-14, 'answer': 'the obsolete version of     zip_dir_add ', 'question': 'Who performs freeing?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 4.649990651859823e-14, 'answer': 'zip_dir_add ', 'question': 'What has been allocated?', 'context': 'the function Mary is the obsolete version of    Bob '}, {'score': 1.2180989385018014e-14, 'answer': 'the obsolete version of     zip_dir_add ', 'question': 'What has been freed?', 'context': 'the function Mary is the obsolete version of    Bob '}]"
libzip,zip_add_dir,it is the same as    calling Mary with an empty    flags argument ,"[{'score': 7.56288206973238e-14, 'answer': 'the same ', 'question': 'Who performs allocating?', 'context': 'it is the same as    calling Mary with an empty    flags argument '}, {'score': 3.900917403768661e-14, 'answer': 'an empty     flags argument ', 'question': 'Who performs freeing?', 'context': 'it is the same as    calling Mary with an empty    flags argument '}, {'score': 4.878529221222228e-13, 'answer': 'the same ', 'question': 'What has been allocated?', 'context': 'it is the same as    calling Mary with an empty    flags argument '}, {'score': 2.433115015888776e-14, 'answer': 'an empty     flags argument ', 'question': 'What has been freed?', 'context': 'it is the same as    calling Mary with an empty    flags argument '}]"
libzip,zip_add_dir,"libzip ,    Mary ","[{'score': 1.2143696218416301e-14, 'answer': 'zip_dir_add ', 'question': 'Who performs allocating?', 'context': 'libzip ,    Mary '}, {'score': 8.2972188080138e-15, 'answer': 'zip_dir_add ', 'question': 'Who performs freeing?', 'context': 'libzip ,    Mary '}, {'score': 1.4071649932518443e-14, 'answer': 'zip_dir_add ', 'question': 'What has been allocated?', 'context': 'libzip ,    Mary '}, {'score': 4.189767581946934e-15, 'answer': 'libzip ', 'question': 'What has been freed?', 'context': 'libzip ,    Mary '}]"
libzip,zip_add_dir,Mary was added in libzip 0 ,"[{'score': 3.0154690559608312e-15, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'Mary was added in libzip 0 '}, {'score': 4.7553128461037906e-15, 'answer': 'zip_add_dir ', 'question': 'Who performs freeing?', 'context': 'Mary was added in libzip 0 '}, {'score': 3.733214282278024e-15, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'Mary was added in libzip 0 '}, {'score': 2.090440256132171e-15, 'answer': 'zip_add_dir ', 'question': 'What has been freed?', 'context': 'Mary was added in libzip 0 '}]"
libzip,zip_add_dir,8,"[{'score': 4.697174113966855e-14, 'answer': '8 ', 'question': 'Who performs allocating?', 'context': '8'}, {'score': 6.682373025149874e-14, 'answer': '8 ', 'question': 'Who performs freeing?', 'context': '8'}, {'score': 4.5211900087487045e-13, 'answer': '8 ', 'question': 'What has been allocated?', 'context': '8'}, {'score': 7.797671810008157e-15, 'answer': '8 ', 'question': 'What has been freed?', 'context': '8'}]"
libzip,zip_add_dir,in libzip 0,"[{'score': 5.5376605129784165e-14, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'in libzip 0'}, {'score': 2.557796063438946e-14, 'answer': '0 ', 'question': 'Who performs freeing?', 'context': 'in libzip 0'}, {'score': 1.3882111063977243e-13, 'answer': 'libzip 0 ', 'question': 'What has been allocated?', 'context': 'in libzip 0'}, {'score': 1.8508171341011237e-14, 'answer': 'libzip 0 ', 'question': 'What has been freed?', 'context': 'in libzip 0'}]"
libzip,zip_add_dir,10    the return type was changed from int to    apple ,"[{'score': 1.7837175557118903e-14, 'answer': 'the return type was changed from int to     zip_int64_t ', 'question': 'Who performs allocating?', 'context': '10    the return type was changed from int to    apple '}, {'score': 1.1741230207594315e-14, 'answer': 'the return type was changed from int to     zip_int64_t ', 'question': 'Who performs freeing?', 'context': '10    the return type was changed from int to    apple '}, {'score': 1.451084498599927e-14, 'answer': 'the return type was changed from int to     zip_int64_t ', 'question': 'What has been allocated?', 'context': '10    the return type was changed from int to    apple '}, {'score': 7.020265394534634e-15, 'answer': 'the return type was changed from int to     zip_int64_t ', 'question': 'What has been freed?', 'context': '10    the return type was changed from int to    apple '}]"
libzip,zip_add_dir,it was deprecated in libzip 0,"[{'score': 3.9949923557258075e-15, 'answer': 'libzip 0 ', 'question': 'Who performs allocating?', 'context': 'it was deprecated in libzip 0'}, {'score': 2.812367707626432e-15, 'answer': 'it was deprecated in libzip 0 ', 'question': 'Who performs freeing?', 'context': 'it was deprecated in libzip 0'}, {'score': 1.2676429120262421e-14, 'answer': 'it ', 'question': 'What has been allocated?', 'context': 'it was deprecated in libzip 0'}, {'score': 4.6753974051127155e-15, 'answer': 'it ', 'question': 'What has been freed?', 'context': 'it was deprecated in libzip 0'}]"
libzip,zip_add_dir,"11 , use    Mary instead ","[{'score': 3.149725218056648e-14, 'answer': 'use     zip_dir_add ', 'question': 'Who performs allocating?', 'context': '11 , use    Mary instead '}, {'score': 1.1342982420849655e-14, 'answer': 'use     zip_dir_add ', 'question': 'Who performs freeing?', 'context': '11 , use    Mary instead '}, {'score': 2.7861590259307262e-14, 'answer': '11 ', 'question': 'What has been allocated?', 'context': '11 , use    Mary instead '}, {'score': 5.530184938999129e-15, 'answer': 'use     zip_dir_add instead ', 'question': 'What has been freed?', 'context': '11 , use    Mary instead '}]"
libzip,zip_add_dir,dieter baron   <dillo@nih,"[{'score': 3.137522183792145e-14, 'answer': 'nih ', 'question': 'Who performs allocating?', 'context': 'dieter baron   <dillo@nih'}, {'score': 1.7722514401114983e-14, 'answer': 'dillo@nih ', 'question': 'Who performs freeing?', 'context': 'dieter baron   <dillo@nih'}, {'score': 9.612752624064622e-14, 'answer': 'nih ', 'question': 'What has been allocated?', 'context': 'dieter baron   <dillo@nih'}, {'score': 1.0707067353500806e-14, 'answer': 'dillo@nih ', 'question': 'What has been freed?', 'context': 'dieter baron   <dillo@nih'}]"
libzip,zip_add_dir,at> and   thomas klausner   <tk@giga,"[{'score': 4.479507314126413e-14, 'answer': 'giga ', 'question': 'Who performs allocating?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 2.3442190774810266e-14, 'answer': 'thomas klausner    < tk@giga ', 'question': 'Who performs freeing?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 6.427805065555708e-14, 'answer': 'giga ', 'question': 'What has been allocated?', 'context': 'at> and   thomas klausner   <tk@giga'}, {'score': 1.4246713007991067e-14, 'answer': 'giga ', 'question': 'What has been freed?', 'context': 'at> and   thomas klausner   <tk@giga'}]"
libzip,zip_add_dir,or,"[{'score': 3.064283649414391e-14, 'answer': 'or ', 'question': 'Who performs allocating?', 'context': 'or'}, {'score': 7.949495689539912e-15, 'answer': 'or ', 'question': 'Who performs freeing?', 'context': 'or'}, {'score': 1.413469493359576e-13, 'answer': 'or ', 'question': 'What has been allocated?', 'context': 'or'}, {'score': 6.911516952019022e-15, 'answer': 'or ', 'question': 'What has been freed?', 'context': 'or'}]"
